severity,category,record_index,tier,supplier_index,system,component,supplier_name,location,normalized_location,country,lat,lon,geocode_provider,geocode_query,detail
MEDIUM,COUNTRY_CENTROID_USED,186,tier1,2,Padding (rembourrage),ULTRA LEATHER SMOKE,Celso (France),France,France,,46.2276,2.2137,country_centroid,"Celso SAS, 200 impasse de Fontanilles, ZI de Bressols, 82710 Bressols, France",coordinates are country centroid (France); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,186,tier1,3,Padding (rembourrage),ULTRA LEATHER SMOKE,ACH (France) (Angleterre),Angleterre,United Kingdom,,55.3781,-3.436,cache:nominatim,"ACH (France) (Angleterre), United Kingdom",location should be normalized from 'Angleterre' to 'United Kingdom'
MEDIUM,COUNTRY_CENTROID_USED,186,tier1,3,Padding (rembourrage),ULTRA LEATHER SMOKE,ACH (France) (Angleterre),Angleterre,United Kingdom,,55.3781,-3.436,cache:nominatim,"ACH (France) (Angleterre), United Kingdom",coordinates are country centroid (United Kingdom); not supplier/site precise
MEDIUM,TIER1_SELF_OR_CUSTOMER_AS_SUPPLIER,187,tier1,1,Livraison à Hambourg,packaging,SAFRAN (France),France,France,,46.8092197,4.42273,cache:nominatim,"SAFRAN (France), France",Safran appears as tier1 supplier; check whether this is internal flow or customer wrongly listed as supplier
LOW,LOCATION_NONSTANDARD_LABEL,187,tier1,2,Livraison à Hambourg,packaging,Kuehne-Nagel (Allemagne),Allemagne,Germany,,51.1657,10.4515,cache:nominatim,"Kuehne-Nagel (Allemagne), Germany",location should be normalized from 'Allemagne' to 'Germany'
MEDIUM,COUNTRY_CENTROID_USED,187,tier1,2,Livraison à Hambourg,packaging,Kuehne-Nagel (Allemagne),Allemagne,Germany,,51.1657,10.4515,cache:nominatim,"Kuehne-Nagel (Allemagne), Germany",coordinates are country centroid (Germany); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,187,tier1,3,Livraison à Hambourg,packaging,UPS Supply Chain (USA) (France),France,France,,46.2276,2.2137,country_centroid,"UPS Supply Chain (USA) (France), Toulouse, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,TIER1_SELF_OR_CUSTOMER_AS_SUPPLIER,188,tier1,1,Livraison à Hambourg,Transport,SAFRAN (France),France,France,,46.8092197,4.42273,cache:nominatim,"SAFRAN (France), France",Safran appears as tier1 supplier; check whether this is internal flow or customer wrongly listed as supplier
LOW,LOCATION_NONSTANDARD_LABEL,188,tier1,2,Livraison à Hambourg,Transport,Kuehne-Nagel (Allemagne),Allemagne,Germany,,51.1657,10.4515,cache:nominatim,"Kuehne-Nagel (Allemagne), Germany",location should be normalized from 'Allemagne' to 'Germany'
MEDIUM,COUNTRY_CENTROID_USED,188,tier1,2,Livraison à Hambourg,Transport,Kuehne-Nagel (Allemagne),Allemagne,Germany,,51.1657,10.4515,cache:nominatim,"Kuehne-Nagel (Allemagne), Germany",coordinates are country centroid (Germany); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,188,tier1,3,Livraison à Hambourg,Transport,UPS Supply Chain (USA) (France),France,France,,46.2276,2.2137,country_centroid,"UPS Supply Chain (USA) (France), Toulouse, France",coordinates are country centroid (France); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,189,tier1,1,Manchette acc. Mobile,Transport,FUCH(s) (Thailande),Thailande,Thailand,,15.87,100.9925,cache:nominatim,"FUCH(s) (Thailande), Thailand",location should be normalized from 'Thailande' to 'Thailand'
MEDIUM,COUNTRY_CENTROID_USED,189,tier1,1,Manchette acc. Mobile,Transport,FUCH(s) (Thailande),Thailande,Thailand,,15.87,100.9925,cache:nominatim,"FUCH(s) (Thailande), Thailand",coordinates are country centroid (Thailand); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,189,tier1,2,Manchette acc. Mobile,Transport,segnere aero SAS (France),France,France,,46.2276,2.2137,country_centroid,"SEGNERE, ZI du Toulicou, 65100 Adé, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,189,tier1,4,Manchette acc. Mobile,Transport,Celso (France),France,France,,46.2276,2.2137,country_centroid,"Celso SAS, 200 impasse de Fontanilles, ZI de Bressols, 82710 Bressols, France",coordinates are country centroid (France); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,189,tier1,5,Manchette acc. Mobile,Transport,MGR FOAMTEX (Angleterre),Angleterre,United Kingdom,,51.739561,-0.966526,cache:nominatim,"MGR Foamtex, Dax House, Wenman Road, Thame OX9 3SE, United Kingdom",location should be normalized from 'Angleterre' to 'United Kingdom'
HIGH,LOCATION_INVALID,189,tier1,7,Manchette acc. Mobile,Transport,Lauak Group (France) (s),s,INVALID_S,France,46.2276,2.2137,country_centroid,"Groupe LAUAK, 2245 Route de Minhotz, 64240 Hasparren, France",location is not a usable country/location: 's'
HIGH,COUNTRY_FIELD_LOCATION_MISMATCH,189,tier1,7,Manchette acc. Mobile,Transport,Lauak Group (France) (s),s,INVALID_S,France,46.2276,2.2137,country_centroid,"Groupe LAUAK, 2245 Route de Minhotz, 64240 Hasparren, France",country='France' conflicts with location='s'
MEDIUM,COUNTRY_CENTROID_USED,189,tier1,7,Manchette acc. Mobile,Transport,Lauak Group (France) (s),s,INVALID_S,France,46.2276,2.2137,country_centroid,"Groupe LAUAK, 2245 Route de Minhotz, 64240 Hasparren, France",coordinates are country centroid (France); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,189,tier1,8,Manchette acc. Mobile,Transport,MGR FOAMTEX (Angleterre),Angleterre,United Kingdom,,51.739561,-0.966526,cache:nominatim,"MGR Foamtex, Dax House, Wenman Road, Thame OX9 3SE, United Kingdom",location should be normalized from 'Angleterre' to 'United Kingdom'
MEDIUM,COUNTRY_CENTROID_USED,189,tier1,9,Manchette acc. Mobile,Transport,segnere aero SAS (France),France,France,,46.2276,2.2137,country_centroid,"SEGNERE, ZI du Toulicou, 65100 Adé, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,189,tier1,11,Manchette acc. Mobile,Transport,Celso (France),France,France,,46.2276,2.2137,country_centroid,"Celso SAS, 200 impasse de Fontanilles, ZI de Bressols, 82710 Bressols, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,189,tier1,13,Manchette acc. Mobile,Transport,Lauak Group (France),France,France,France,46.2276,2.2137,country_centroid,"Groupe LAUAK, 2245 Route de Minhotz, 64240 Hasparren, France",coordinates are country centroid (France); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,189,tier1,14,Manchette acc. Mobile,Transport,Jamco (Japon) (Angleterre),Angleterre,United Kingdom,Japan,36.2048,138.2529,country_centroid,"Niigata JAMCO Corporation, 341-1 Kamitsubone, Tsubone, Murakami-shi, Niigata 958-0822, Japan",location should be normalized from 'Angleterre' to 'United Kingdom'
HIGH,COUNTRY_FIELD_LOCATION_MISMATCH,189,tier1,14,Manchette acc. Mobile,Transport,Jamco (Japon) (Angleterre),Angleterre,United Kingdom,Japan,36.2048,138.2529,country_centroid,"Niigata JAMCO Corporation, 341-1 Kamitsubone, Tsubone, Murakami-shi, Niigata 958-0822, Japan",country='Japan' conflicts with location='Angleterre'
HIGH,GEOCODE_QUERY_LOCATION_COUNTRY_MISMATCH,189,tier1,14,Manchette acc. Mobile,Transport,Jamco (Japon) (Angleterre),Angleterre,United Kingdom,Japan,36.2048,138.2529,country_centroid,"Niigata JAMCO Corporation, 341-1 Kamitsubone, Tsubone, Murakami-shi, Niigata 958-0822, Japan",geocode_query countries=['Japan'] do not include normalized location=United Kingdom
MEDIUM,COUNTRY_CENTROID_USED,189,tier1,14,Manchette acc. Mobile,Transport,Jamco (Japon) (Angleterre),Angleterre,United Kingdom,Japan,36.2048,138.2529,country_centroid,"Niigata JAMCO Corporation, 341-1 Kamitsubone, Tsubone, Murakami-shi, Niigata 958-0822, Japan",coordinates are country centroid (Japan); not supplier/site precise
HIGH,COORDINATE_OUTSIDE_LOCATION_COUNTRY,189,tier1,14,Manchette acc. Mobile,Transport,Jamco (Japon) (Angleterre),Angleterre,United Kingdom,Japan,36.2048,138.2529,country_centroid,"Niigata JAMCO Corporation, 341-1 Kamitsubone, Tsubone, Murakami-shi, Niigata 958-0822, Japan","lat/lon (36.2048,138.2529) are outside normalized location country United Kingdom"
LOW,LOCATION_NONSTANDARD_LABEL,190,tier1,1,Manchette acc. Mobile,packaging,FUCH(s) (Thailande),Thailande,Thailand,,15.87,100.9925,cache:nominatim,"FUCH(s) (Thailande), Thailand",location should be normalized from 'Thailande' to 'Thailand'
MEDIUM,COUNTRY_CENTROID_USED,190,tier1,1,Manchette acc. Mobile,packaging,FUCH(s) (Thailande),Thailande,Thailand,,15.87,100.9925,cache:nominatim,"FUCH(s) (Thailande), Thailand",coordinates are country centroid (Thailand); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,190,tier1,2,Manchette acc. Mobile,packaging,segnere aero SAS (France),France,France,,46.2276,2.2137,country_centroid,"SEGNERE, ZI du Toulicou, 65100 Adé, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,190,tier1,4,Manchette acc. Mobile,packaging,Celso (France),France,France,,46.2276,2.2137,country_centroid,"Celso SAS, 200 impasse de Fontanilles, ZI de Bressols, 82710 Bressols, France",coordinates are country centroid (France); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,190,tier1,5,Manchette acc. Mobile,packaging,MGR FOAMTEX (Angleterre),Angleterre,United Kingdom,,51.739561,-0.966526,cache:nominatim,"MGR Foamtex, Dax House, Wenman Road, Thame OX9 3SE, United Kingdom",location should be normalized from 'Angleterre' to 'United Kingdom'
HIGH,LOCATION_INVALID,190,tier1,7,Manchette acc. Mobile,packaging,Lauak Group (France) (s),s,INVALID_S,France,46.2276,2.2137,country_centroid,"Groupe LAUAK, 2245 Route de Minhotz, 64240 Hasparren, France",location is not a usable country/location: 's'
HIGH,COUNTRY_FIELD_LOCATION_MISMATCH,190,tier1,7,Manchette acc. Mobile,packaging,Lauak Group (France) (s),s,INVALID_S,France,46.2276,2.2137,country_centroid,"Groupe LAUAK, 2245 Route de Minhotz, 64240 Hasparren, France",country='France' conflicts with location='s'
MEDIUM,COUNTRY_CENTROID_USED,190,tier1,7,Manchette acc. Mobile,packaging,Lauak Group (France) (s),s,INVALID_S,France,46.2276,2.2137,country_centroid,"Groupe LAUAK, 2245 Route de Minhotz, 64240 Hasparren, France",coordinates are country centroid (France); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,191,tier1,1,Manchette équipée,Transport,FUCH(s) (Thailande),Thailande,Thailand,,15.87,100.9925,cache:nominatim,"FUCH(s) (Thailande), Thailand",location should be normalized from 'Thailande' to 'Thailand'
MEDIUM,COUNTRY_CENTROID_USED,191,tier1,1,Manchette équipée,Transport,FUCH(s) (Thailande),Thailande,Thailand,,15.87,100.9925,cache:nominatim,"FUCH(s) (Thailande), Thailand",coordinates are country centroid (Thailand); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,191,tier1,2,Manchette équipée,Transport,segnere aero SAS (France),France,France,,46.2276,2.2137,country_centroid,"SEGNERE, ZI du Toulicou, 65100 Adé, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,GEOCODE_PROVIDER_MISSING,191,tier1,5,Manchette équipée,Transport,MGR FOAMTEX (Angleterre) (s),s,INVALID_S,,51.739561,-0.966526,,"MGR Foamtex, Dax House, Wenman Road, Thame OX9 3SE, United Kingdom",geocode_provider is missing although coordinates are present
HIGH,LOCATION_INVALID,191,tier1,5,Manchette équipée,Transport,MGR FOAMTEX (Angleterre) (s),s,INVALID_S,,51.739561,-0.966526,,"MGR Foamtex, Dax House, Wenman Road, Thame OX9 3SE, United Kingdom",location is not a usable country/location: 's'
MEDIUM,COUNTRY_CENTROID_USED,191,tier1,7,Manchette équipée,Transport,Lauak Group (France),France,France,France,46.2276,2.2137,country_centroid,"Groupe LAUAK, 2245 Route de Minhotz, 64240 Hasparren, France",coordinates are country centroid (France); not supplier/site precise
HIGH,GEOCODE_QUERY_LOCATION_COUNTRY_MISMATCH,191,tier1,8,Manchette équipée,Transport,MGR FOAMTEX (Angleterre) (France),France,France,,51.739561,-0.966526,cache:nominatim,"MGR Foamtex, Dax House, Wenman Road, Thame OX9 3SE, United Kingdom",geocode_query countries=['United Kingdom'] do not include normalized location=France
HIGH,COORDINATE_OUTSIDE_LOCATION_COUNTRY,191,tier1,8,Manchette équipée,Transport,MGR FOAMTEX (Angleterre) (France),France,France,,51.739561,-0.966526,cache:nominatim,"MGR Foamtex, Dax House, Wenman Road, Thame OX9 3SE, United Kingdom","lat/lon (51.739561,-0.966526) are outside normalized location country France"
LOW,LOCATION_NONSTANDARD_LABEL,191,tier1,9,Manchette équipée,Transport,MGR FOAMTEX (Angleterre),Angleterre,United Kingdom,,51.739561,-0.966526,cache:nominatim,"MGR Foamtex, Dax House, Wenman Road, Thame OX9 3SE, United Kingdom",location should be normalized from 'Angleterre' to 'United Kingdom'
MEDIUM,COUNTRY_CENTROID_USED,191,tier1,12,Manchette équipée,Transport,Celso (France),France,France,,46.2276,2.2137,country_centroid,"Celso SAS, 200 impasse de Fontanilles, ZI de Bressols, 82710 Bressols, France",coordinates are country centroid (France); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,191,tier1,13,Manchette équipée,Transport,Jamco (Japon) (Angleterre),Angleterre,United Kingdom,Japan,36.2048,138.2529,country_centroid,"Niigata JAMCO Corporation, 341-1 Kamitsubone, Tsubone, Murakami-shi, Niigata 958-0822, Japan",location should be normalized from 'Angleterre' to 'United Kingdom'
HIGH,COUNTRY_FIELD_LOCATION_MISMATCH,191,tier1,13,Manchette équipée,Transport,Jamco (Japon) (Angleterre),Angleterre,United Kingdom,Japan,36.2048,138.2529,country_centroid,"Niigata JAMCO Corporation, 341-1 Kamitsubone, Tsubone, Murakami-shi, Niigata 958-0822, Japan",country='Japan' conflicts with location='Angleterre'
HIGH,GEOCODE_QUERY_LOCATION_COUNTRY_MISMATCH,191,tier1,13,Manchette équipée,Transport,Jamco (Japon) (Angleterre),Angleterre,United Kingdom,Japan,36.2048,138.2529,country_centroid,"Niigata JAMCO Corporation, 341-1 Kamitsubone, Tsubone, Murakami-shi, Niigata 958-0822, Japan",geocode_query countries=['Japan'] do not include normalized location=United Kingdom
MEDIUM,COUNTRY_CENTROID_USED,191,tier1,13,Manchette équipée,Transport,Jamco (Japon) (Angleterre),Angleterre,United Kingdom,Japan,36.2048,138.2529,country_centroid,"Niigata JAMCO Corporation, 341-1 Kamitsubone, Tsubone, Murakami-shi, Niigata 958-0822, Japan",coordinates are country centroid (Japan); not supplier/site precise
HIGH,COORDINATE_OUTSIDE_LOCATION_COUNTRY,191,tier1,13,Manchette équipée,Transport,Jamco (Japon) (Angleterre),Angleterre,United Kingdom,Japan,36.2048,138.2529,country_centroid,"Niigata JAMCO Corporation, 341-1 Kamitsubone, Tsubone, Murakami-shi, Niigata 958-0822, Japan","lat/lon (36.2048,138.2529) are outside normalized location country United Kingdom"
MEDIUM,COUNTRY_CENTROID_USED,192,tier1,2,Manchette équipée,packaging,Lauak Group (France),France,France,France,46.2276,2.2137,country_centroid,"Groupe LAUAK, 2245 Route de Minhotz, 64240 Hasparren, France",coordinates are country centroid (France); not supplier/site precise
HIGH,GEOCODE_QUERY_LOCATION_COUNTRY_MISMATCH,192,tier1,3,Manchette équipée,packaging,MGR FOAMTEX (Angleterre) (France),France,France,,51.739561,-0.966526,cache:nominatim,"MGR Foamtex, Dax House, Wenman Road, Thame OX9 3SE, United Kingdom",geocode_query countries=['United Kingdom'] do not include normalized location=France
HIGH,COORDINATE_OUTSIDE_LOCATION_COUNTRY,192,tier1,3,Manchette équipée,packaging,MGR FOAMTEX (Angleterre) (France),France,France,,51.739561,-0.966526,cache:nominatim,"MGR Foamtex, Dax House, Wenman Road, Thame OX9 3SE, United Kingdom","lat/lon (51.739561,-0.966526) are outside normalized location country France"
LOW,LOCATION_NONSTANDARD_LABEL,193,tier1,1,Padding (rembourrage),packaging,MGR FOAMTEX (Angleterre),Angleterre,United Kingdom,,51.739561,-0.966526,cache:nominatim,"MGR Foamtex, Dax House, Wenman Road, Thame OX9 3SE, United Kingdom",location should be normalized from 'Angleterre' to 'United Kingdom'
LOW,LOCATION_NONSTANDARD_LABEL,193,tier1,2,Padding (rembourrage),packaging,Celso (France) (Angleterre),Angleterre,United Kingdom,,55.3781,-3.436,cache:nominatim,"Celso (France) (Angleterre), United Kingdom",location should be normalized from 'Angleterre' to 'United Kingdom'
MEDIUM,COUNTRY_CENTROID_USED,193,tier1,2,Padding (rembourrage),packaging,Celso (France) (Angleterre),Angleterre,United Kingdom,,55.3781,-3.436,cache:nominatim,"Celso (France) (Angleterre), United Kingdom",coordinates are country centroid (United Kingdom); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,194,tier1,1,Padding (rembourrage),Transport,MGR FOAMTEX (Angleterre),Angleterre,United Kingdom,,51.739561,-0.966526,cache:nominatim,"MGR Foamtex, Dax House, Wenman Road, Thame OX9 3SE, United Kingdom",location should be normalized from 'Angleterre' to 'United Kingdom'
LOW,LOCATION_NONSTANDARD_LABEL,194,tier1,2,Padding (rembourrage),Transport,Celso (France) (Angleterre),Angleterre,United Kingdom,,55.3781,-3.436,cache:nominatim,"Celso (France) (Angleterre), United Kingdom",location should be normalized from 'Angleterre' to 'United Kingdom'
MEDIUM,COUNTRY_CENTROID_USED,194,tier1,2,Padding (rembourrage),Transport,Celso (France) (Angleterre),Angleterre,United Kingdom,,55.3781,-3.436,cache:nominatim,"Celso (France) (Angleterre), United Kingdom",coordinates are country centroid (United Kingdom); not supplier/site precise
MEDIUM,TIER1_SELF_OR_CUSTOMER_AS_SUPPLIER,195,tier1,1,Powerbox,packaging,SAFRAN (France),France,France,,46.8092197,4.42273,cache:nominatim,"SAFRAN (France), France",Safran appears as tier1 supplier; check whether this is internal flow or customer wrongly listed as supplier
MEDIUM,COUNTRY_CENTROID_USED,195,tier1,2,Powerbox,packaging,JAMMY Inc (USA) (France),France,France,,46.2276,2.2137,country_centroid,"JAMMY Inc (USA) (France), Toulouse, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,TIER1_SELF_OR_CUSTOMER_AS_SUPPLIER,196,tier1,1,Powerbox,Transport,SAFRAN (France),France,France,,46.8092197,4.42273,cache:nominatim,"SAFRAN (France), France",Safran appears as tier1 supplier; check whether this is internal flow or customer wrongly listed as supplier
MEDIUM,COUNTRY_CENTROID_USED,196,tier1,2,Powerbox,Transport,JAMMY Inc (USA) (France),France,France,,46.2276,2.2137,country_centroid,"JAMMY Inc (USA) (France), Toulouse, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,198,tier1,1,Ens. Structure fixe,inox,MGA Villeneuve St Lot (France),France,France,,46.2276,2.2137,country_centroid,"MGA, ZI La Barbière, Rue Nicolas Leblanc, 47300 Villeneuve-sur-Lot, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,200,tier1,1,Renfort tubulaire,packaging,segnere aero SAS (France),France,France,,46.2276,2.2137,country_centroid,"SEGNERE, ZI du Toulicou, 65100 Adé, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,200,tier1,2,Renfort tubulaire,packaging,L&P Aerospace (France),France,France,,46.2276,2.2137,country_centroid,"L&P Aerospace, Aéroport CDG, 95700 Roissy-en-France, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,200,tier1,3,Renfort tubulaire,packaging,SENIOR AEROSPACE (France),France,France,,46.2276,2.2137,country_centroid,"SENIOR AEROSPACE (France), Toulouse, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,201,tier1,1,Ens. Structure fixe,nylon,MGA Villeneuve St Lot (France),France,France,,46.2276,2.2137,country_centroid,"MGA, ZI La Barbière, Rue Nicolas Leblanc, 47300 Villeneuve-sur-Lot, France",coordinates are country centroid (France); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,201,tier1,3,Ens. Structure fixe,nylon,Plastiservice (Belgique),Belgique,Belgium,,50.5039,4.4699,cache:nominatim,"Plastiservice (Belgique), Belgium",location should be normalized from 'Belgique' to 'Belgium'
MEDIUM,COUNTRY_CENTROID_USED,201,tier1,3,Ens. Structure fixe,nylon,Plastiservice (Belgique),Belgique,Belgium,,50.5039,4.4699,cache:nominatim,"Plastiservice (Belgique), Belgium",coordinates are country centroid (Belgium); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,202,tier1,1,Renfort tubulaire,Transport,segnere aero SAS (France),France,France,,46.2276,2.2137,country_centroid,"SEGNERE, ZI du Toulicou, 65100 Adé, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,202,tier1,2,Renfort tubulaire,Transport,L&P Aerospace (France),France,France,,46.2276,2.2137,country_centroid,"L&P Aerospace, Aéroport CDG, 95700 Roissy-en-France, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,202,tier1,3,Renfort tubulaire,Transport,SENIOR AEROSPACE (France),France,France,,46.2276,2.2137,country_centroid,"SENIOR AEROSPACE (France), Toulouse, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,TIER1_SELF_OR_CUSTOMER_AS_SUPPLIER,203,tier1,1,SFCU (Seat Function Control Unit),packaging,SAFRAN (France),France,France,,46.8092197,4.42273,cache:nominatim,"SAFRAN (France), France",Safran appears as tier1 supplier; check whether this is internal flow or customer wrongly listed as supplier
LOW,LOCATION_NONSTANDARD_LABEL,203,tier1,2,SFCU (Seat Function Control Unit),packaging,LIEBHERR (Allemagne),Allemagne,Germany,,51.1657,10.4515,cache:nominatim,"LIEBHERR (Allemagne), Germany",location should be normalized from 'Allemagne' to 'Germany'
MEDIUM,COUNTRY_CENTROID_USED,203,tier1,2,SFCU (Seat Function Control Unit),packaging,LIEBHERR (Allemagne),Allemagne,Germany,,51.1657,10.4515,cache:nominatim,"LIEBHERR (Allemagne), Germany",coordinates are country centroid (Germany); not supplier/site precise
MEDIUM,TIER1_SELF_OR_CUSTOMER_AS_SUPPLIER,204,tier1,1,SFCU (Seat Function Control Unit),Transport,SAFRAN (France),France,France,,46.8092197,4.42273,cache:nominatim,"SAFRAN (France), France",Safran appears as tier1 supplier; check whether this is internal flow or customer wrongly listed as supplier
LOW,LOCATION_NONSTANDARD_LABEL,204,tier1,2,SFCU (Seat Function Control Unit),Transport,LIEBHERR (Allemagne),Allemagne,Germany,,51.1657,10.4515,cache:nominatim,"LIEBHERR (Allemagne), Germany",location should be normalized from 'Allemagne' to 'Germany'
MEDIUM,COUNTRY_CENTROID_USED,204,tier1,2,SFCU (Seat Function Control Unit),Transport,LIEBHERR (Allemagne),Allemagne,Germany,,51.1657,10.4515,cache:nominatim,"LIEBHERR (Allemagne), Germany",coordinates are country centroid (Germany); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,205,tier1,1,Stowage assemblé avec porte,packaging,MGA Villeneuve St Lot (France),France,France,,46.2276,2.2137,country_centroid,"MGA, ZI La Barbière, Rue Nicolas Leblanc, 47300 Villeneuve-sur-Lot, France",coordinates are country centroid (France); not supplier/site precise
HIGH,GEOCODE_QUERY_LOCATION_COUNTRY_MISMATCH,205,tier1,3,Stowage assemblé avec porte,packaging,Plastiservice (Belgique) (France),France,France,,50.5039,4.4699,country_centroid,"Plastiservice, Allée Centrale 72, Zoning de Jumet, 6040 Charleroi, Belgium",geocode_query countries=['Belgium'] do not include normalized location=France
MEDIUM,COUNTRY_CENTROID_USED,205,tier1,3,Stowage assemblé avec porte,packaging,Plastiservice (Belgique) (France),France,France,,50.5039,4.4699,country_centroid,"Plastiservice, Allée Centrale 72, Zoning de Jumet, 6040 Charleroi, Belgium",coordinates are country centroid (Belgium); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,206,tier1,1,Stowage assemblé avec porte,Transport,MGA Villeneuve St Lot (France),France,France,,46.2276,2.2137,country_centroid,"MGA, ZI La Barbière, Rue Nicolas Leblanc, 47300 Villeneuve-sur-Lot, France",coordinates are country centroid (France); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,206,tier1,3,Stowage assemblé avec porte,Transport,Plastiservice (Belgique),Belgique,Belgium,,50.5039,4.4699,cache:nominatim,"Plastiservice (Belgique), Belgium",location should be normalized from 'Belgique' to 'Belgium'
MEDIUM,COUNTRY_CENTROID_USED,206,tier1,3,Stowage assemblé avec porte,Transport,Plastiservice (Belgique),Belgique,Belgium,,50.5039,4.4699,cache:nominatim,"Plastiservice (Belgique), Belgium",coordinates are country centroid (Belgium); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,206,tier1,4,Stowage assemblé avec porte,Transport,Senior Aerospace (Thaïlande),Thaïlande,Thailand,,15.87,100.9925,cache:nominatim,"Senior Aerospace (Thaïlande), Thailand",location should be normalized from 'Thaïlande' to 'Thailand'
MEDIUM,COUNTRY_CENTROID_USED,206,tier1,4,Stowage assemblé avec porte,Transport,Senior Aerospace (Thaïlande),Thaïlande,Thailand,,15.87,100.9925,cache:nominatim,"Senior Aerospace (Thaïlande), Thailand",coordinates are country centroid (Thailand); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,206,tier1,5,Stowage assemblé avec porte,Transport,Baulé - Exsto Polymère (France),France,France,,46.2276,2.2137,country_centroid,"EXSTO Thermoplastics, 55 Avenue de la Déportation, 26100 Romans-sur-Isère, France",coordinates are country centroid (France); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,207,tier1,2,Structure ottoman horizontale,packaging,Plastiservice (Belgique),Belgique,Belgium,,50.5039,4.4699,cache:nominatim,"Plastiservice (Belgique), Belgium",location should be normalized from 'Belgique' to 'Belgium'
MEDIUM,COUNTRY_CENTROID_USED,207,tier1,2,Structure ottoman horizontale,packaging,Plastiservice (Belgique),Belgique,Belgium,,50.5039,4.4699,cache:nominatim,"Plastiservice (Belgique), Belgium",coordinates are country centroid (Belgium); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,207,tier1,3,Structure ottoman horizontale,packaging,BAULE - Exsto Polymère (France),France,France,,46.2276,2.2137,country_centroid,"EXSTO Thermoplastics, 55 Avenue de la Déportation, 26100 Romans-sur-Isère, France",coordinates are country centroid (France); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,207,tier1,4,Structure ottoman horizontale,packaging,Plastitek (France) (France),France,France,,46.2276,2.2137,country_centroid,"PLASTITEK, 2 Avenue du Président Roosevelt, 80220 Bouttencourt, France",coordinates are country centroid (France); not supplier/site precise
LOW,LOCATION_NONSTANDARD_LABEL,208,tier1,2,Structure ottoman horizontale,Transport,Plastiservice (Belgique),Belgique,Belgium,,50.5039,4.4699,cache:nominatim,"Plastiservice (Belgique), Belgium",location should be normalized from 'Belgique' to 'Belgium'
MEDIUM,COUNTRY_CENTROID_USED,208,tier1,2,Structure ottoman horizontale,Transport,Plastiservice (Belgique),Belgique,Belgium,,50.5039,4.4699,cache:nominatim,"Plastiservice (Belgique), Belgium",coordinates are country centroid (Belgium); not supplier/site precise
MEDIUM,COUNTRY_CENTROID_USED,208,tier1,3,Structure ottoman horizontale,Transport,BAULE - Exsto Polymère (France),France,France,,46.2276,2.2137,country_centroid,"EXSTO Thermoplastics, 55 Avenue de la Déportation, 26100 Romans-sur-Isère, France",coordinates are country centroid (France); not supplier/site precise
