day,node_id,item_id,stock_before_production
25,M-1810,item:001757,0.0406
25,M-1810,item:001848,0.03045
25,M-1810,item:001893,0.19285
25,M-1810,item:002612,0.05075
25,M-1810,item:016332,0.01218
25,M-1810,item:029313,0.001015
25,M-1810,item:039668,0.001015
25,M-1810,item:049371,0.037555
25,M-1810,item:055703,0.00203
25,M-1810,item:099439,0.05075
25,M-1810,item:338928,25.0
25,M-1810,item:338929,25.0
25,M-1810,item:426331,0.275
25,M-1810,item:693055,10.15
25,M-1810,item:693710,840.0
26,M-1430,item:038005,0.437479
26,M-1430,item:042342,1508.55
26,M-1430,item:333362,25.0
26,M-1430,item:344135,25.0
26,M-1430,item:708073,0.19825
26,M-1430,item:730384,5.3
26,M-1430,item:734545,0.2
26,M-1430,item:773474,241.36795
26,M-1810,item:001757,0.0406
26,M-1810,item:001848,0.03045
26,M-1810,item:001893,0.19285
26,M-1810,item:002612,0.05075
26,M-1810,item:016332,0.01218
26,M-1810,item:029313,0.001015
26,M-1810,item:039668,0.001015
26,M-1810,item:049371,0.037555
26,M-1810,item:055703,0.00203
26,M-1810,item:099439,0.05075
26,M-1810,item:338928,25.0
26,M-1810,item:338929,25.0
26,M-1810,item:426331,0.275
26,M-1810,item:693055,10.15
26,M-1810,item:693710,840.0
27,M-1430,item:038005,0.437479
27,M-1430,item:042342,1508.55
27,M-1430,item:333362,25.0
27,M-1430,item:344135,25.0
27,M-1430,item:708073,0.19825
27,M-1430,item:730384,5.3
27,M-1430,item:734545,0.2
27,M-1430,item:773474,241.36795
27,M-1810,item:001757,0.0406
27,M-1810,item:001848,0.03045
27,M-1810,item:001893,0.19285
27,M-1810,item:002612,0.05075
27,M-1810,item:016332,0.01218
27,M-1810,item:029313,0.001015
27,M-1810,item:039668,0.001015
27,M-1810,item:049371,0.037555
27,M-1810,item:055703,0.00203
27,M-1810,item:099439,0.05075
27,M-1810,item:338928,25.0
27,M-1810,item:338929,25.0
27,M-1810,item:426331,0.275
27,M-1810,item:693055,10.15
27,M-1810,item:693710,840.0
28,M-1430,item:038005,0.437479
28,M-1430,item:042342,1508.55
28,M-1430,item:333362,25.0
28,M-1430,item:344135,25.0
28,M-1430,item:708073,0.19825
28,M-1430,item:730384,5.3
28,M-1430,item:734545,0.2
28,M-1430,item:773474,241.36795
28,M-1810,item:001757,0.0406
28,M-1810,item:001848,0.03045
28,M-1810,item:001893,0.19285
28,M-1810,item:002612,0.05075
28,M-1810,item:016332,0.01218
28,M-1810,item:029313,0.001015
28,M-1810,item:039668,0.001015
28,M-1810,item:049371,0.037555
28,M-1810,item:055703,0.00203
28,M-1810,item:099439,0.05075
28,M-1810,item:338928,25.0
28,M-1810,item:338929,25.0
28,M-1810,item:426331,0.275
28,M-1810,item:693055,10.15
28,M-1810,item:693710,840.0
29,M-1430,item:038005,0.437479
29,M-1430,item:042342,1508.55
29,M-1430,item:333362,25.0
29,M-1430,item:344135,25.0
29,M-1430,item:708073,0.19825
29,M-1430,item:730384,5.3
29,M-1430,item:734545,0.2
29,M-1430,item:773474,241.36795
29,M-1810,item:001757,0.0406
29,M-1810,item:001848,0.03045
29,M-1810,item:001893,0.19285
29,M-1810,item:002612,0.05075
29,M-1810,item:016332,0.01218
29,M-1810,item:029313,0.001015
29,M-1810,item:039668,0.001015
29,M-1810,item:049371,0.037555
29,M-1810,item:055703,0.00203
29,M-1810,item:099439,0.05075
29,M-1810,item:338928,25.0
29,M-1810,item:338929,25.0
29,M-1810,item:426331,0.275
29,M-1810,item:693055,10.15
29,M-1810,item:693710,840.0
